text,text_norm,label,label_full,score,chunk_idx,tese_id
64APSK,64apsk,PROTOCOLO,protocolo ou padrão de comunicação,0.83,125,01
AM-DSB-WC,am-dsb-wc,PROTOCOLO,protocolo ou padrão de comunicação,0.9055,125,01
AM-DSB-SC,am-dsb-sc,PROTOCOLO,protocolo ou padrão de comunicação,0.9034,125,01
quantização,quantização,METODO,método ou técnica computacional,0.5182,138,01
quantização,quantização,METODO,método ou técnica computacional,0.4923,138,01
Machine Learning,machine learning,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.565,140,01
quantização,quantização,METODO,método ou técnica computacional,0.5524,145,01
Kubernetes,kubernetes,FRAMEWORK,framework ou biblioteca de software,0.7371,146,01
Python,python,LANG,linguagem de programação,0.9261,150,01
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.449,157,01
quantização,quantização,METODO,método ou técnica computacional,0.5375,160,01
quantização,quantização,METODO,método ou técnica computacional,0.5042,160,01
JMeter,jmeter,FRAMEWORK,framework ou biblioteca de software,0.4953,164,01
JMeter,jmeter,FRAMEWORK,framework ou biblioteca de software,0.4456,167,01
JMeter,jmeter,FRAMEWORK,framework ou biblioteca de software,0.6732,169,01
quantização,quantização,METODO,método ou técnica computacional,0.4821,170,01
Kubernetes,kubernetes,FRAMEWORK,framework ou biblioteca de software,0.669,194,01
JMeter,jmeter,FRAMEWORK,framework ou biblioteca de software,0.5052,197,01
quantização,quantização,METODO,método ou técnica computacional,0.7656,198,01
quantização,quantização,METODO,método ou técnica computacional,0.8196,198,01
Kubernetes,kubernetes,FRAMEWORK,framework ou biblioteca de software,0.4866,204,01
Deep Learning,deep learning,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.4774,206,01
Deep Learning,deep learning,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.4642,206,01
quantização,quantização,METODO,método ou técnica computacional,0.6474,206,01
quantização,quantização,METODO,método ou técnica computacional,0.4745,206,01
quantização,quantização,METODO,método ou técnica computacional,0.5272,206,01
sistemas embarcados,sistemas embarcados,HARDWARE,hardware ou plataforma embarcada,0.4146,211,01
Internet das Coisas,iot,HARDWARE,hardware ou plataforma embarcada,0.3908,211,01
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9793,0,03
Prof. Dr. Marcelo Augusto Costa Fernandes,marcelo augusto costa fernandes,AUTOR,pesquisador ou autor,0.8335,1,03
Programa de Pós-Graduação em Engenharia,programa de pós-graduação em engenharia,INSTITUICAO,instituição de ensino ou pesquisa,0.7714,1,03
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9059,2,03
Universidade Federal do Rio Grande do Norte,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9609,4,03
Centro de Tecnologia,centro de tecnologia,INSTITUICAO,instituição de ensino ou pesquisa,0.8057,4,03
Marcelo Augusto Costa,marcelo augusto costa fernandes,AUTOR,pesquisador ou autor,0.8287,6,03
Universidade Federal do Rio Grande do Norte,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9598,6,03
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.8774,6,03
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9523,7,03
CAPES,capes,INSTITUICAO,instituição de ensino ou pesquisa,0.8137,9,03
Deep learning,deep learning,METODO,método ou técnica computacional,0.7873,17,03
DFT,dft,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.4571,20,03
ANOVA,anova,METODO,método ou técnica computacional,0.5719,24,03
GISAID,gisaid,EMPRESA,organização ou empresa de tecnologia,0.3948,27,03
Machine Learning,machine learning,METODO,método ou técnica computacional,0.4865,27,03
OMS,oms,EMPRESA,organização ou empresa de tecnologia,0.5868,31,03
World Health Organization,world health organization,EMPRESA,organização ou empresa de tecnologia,0.3916,32,03
World Health Organization,world health organization,EMPRESA,organização ou empresa de tecnologia,0.8576,33,03
BLAST,blast,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.8967,39,03
Kwan & Arniker,kwan & arniker,AUTOR,pesquisador ou autor,0.8582,46,03
Deep learning,deep learning,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.5931,47,03
OMS,oms,EMPRESA,organização ou empresa de tecnologia,0.7055,103,03
Pango,pango,EMPRESA,organização ou empresa de tecnologia,0.4215,105,03
bioinformática,bioinformática,METODO,método ou técnica computacional,0.4509,136,03
Kwan & Arniker,kwan & arniker,AUTOR,pesquisador ou autor,0.7922,145,03
Inteligência Artificial,inteligência artificial,METODO,método ou técnica computacional,0.8369,147,03
Inteligência artificial,inteligência artificial,METODO,método ou técnica computacional,0.7624,147,03
machine learning,machine learning,METODO,método ou técnica computacional,0.7149,149,03
deep learning,deep learning,METODO,método ou técnica computacional,0.4887,150,03
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.6017,160,03
softmax,softmax,FRAMEWORK,framework ou biblioteca de software,0.3939,165,03
Kwan & Arniker,kwan & arniker,AUTOR,pesquisador ou autor,0.7881,174,03
K-mer,k-mer,METODO,método ou técnica computacional,0.6995,178,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.7446,180,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.7863,181,03
PCA,pca,METODO,algoritmo ou técnica de inteligência artificial,0.6669,183,03
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.4596,186,03
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.4872,186,03
CNN,cnn,ALGORITMO,organização ou empresa de tecnologia,0.4631,189,03
MLP,mlp,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.4289,189,03
LSTM,lstm,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.509,191,03
CNN,cnn,ALGORITMO,linguagem de programação,0.4275,194,03
algoritmos,algoritmos,METODO,método ou técnica computacional,0.4917,199,03
CGR,cgr,LANG,linguagem de programação,0.4227,202,03
CGR,cgr,METODO,método ou técnica computacional,0.7596,222,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.8221,222,03
Yin & Yau,yin & yau,AUTOR,pesquisador ou autor,0.8474,222,03
CGR,cgr,METODO,método ou técnica computacional,0.6287,223,03
CGR,cgr,METODO,método ou técnica computacional,0.8437,223,03
CGR,cgr,METODO,método ou técnica computacional,0.844,223,03
CGR,cgr,LANG,linguagem de programação,0.544,225,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.4426,226,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.4949,226,03
Yin & Yau,yin & yau,AUTOR,pesquisador ou autor,0.8675,226,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.5019,226,03
Yin & Yau,yin & yau,AUTOR,pesquisador ou autor,0.8049,227,03
CGR,cgr,LANG,linguagem de programação,0.4863,228,03
DFT,dft,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.5448,228,03
DFT,dft,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.6578,229,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.8793,230,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.904,230,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.4406,231,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.4653,232,03
CGR,cgr,METODO,método ou técnica computacional,0.7394,235,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.7634,235,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.7807,236,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.7339,236,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.6218,240,03
Rede neural Convolucional,rede neural convolucional,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.4082,251,03
MATLAB,matlab,FRAMEWORK,framework ou biblioteca de software,0.8872,252,03
MATLAB,matlab,FRAMEWORK,framework ou biblioteca de software,0.8956,252,03
DNN,dnn,EMPRESA,organização ou empresa de tecnologia,0.3879,267,03
ASCII,ascii,LANG,linguagem de programação,0.6617,268,03
ASCII,ascii,LANG,linguagem de programação,0.8029,269,03
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.445,277,03
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.419,284,03
BLAST,blast,METODO,método ou técnica computacional,0.4913,322,03
ANOVA,anova,METODO,método ou técnica computacional,0.4762,327,03
ANOVA,anova,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.7959,328,03
ANOVA,anova,METODO,método ou técnica computacional,0.6884,329,03
Jarque-Bera,jarque-bera,METODO,método ou técnica computacional,0.5306,337,03
Jarque-Bera,jarque-bera,METODO,método ou técnica computacional,0.5269,337,03
CGR,cgr,METODO,método ou técnica computacional,0.5187,358,03
DFT,dft,ALGORITMO,método ou técnica computacional,0.7805,358,03
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9796,0,05
Programa de Pós-Graduação em Engenharia,programa de pós-graduação em engenharia,INSTITUICAO,instituição de ensino ou pesquisa,0.7489,1,05
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9059,2,05
Divisão de Serviços Técnicos,divisão de serviços técnicos,INSTITUICAO,instituição de ensino ou pesquisa,0.5472,3,05
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9507,3,05
Universidade Federal do Rio Grande do Norte,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9594,4,05
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.8759,4,05
Marcelo Augusto Costa,marcelo augusto costa fernandes,AUTOR,pesquisador ou autor,0.8687,5,05
Prof. Dr. Marcelo Augusto Costa Fernandes,marcelo augusto costa fernandes,AUTOR,pesquisador ou autor,0.7583,6,05
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9461,7,05
CAPES,capes,INSTITUICAO,instituição de ensino ou pesquisa,0.8416,7,05
GISAID,gisaid,EMPRESA,organização ou empresa de tecnologia,0.3955,10,05
Aprendizagem Profunda,deep learning,METODO,método ou técnica computacional,0.5024,12,05
Rede Neural Convolucional,rede neural convolucional,METODO,método ou técnica computacional,0.6519,12,05
machine learning,machine learning,METODO,método ou técnica computacional,0.8439,14,05
GISAID,gisaid,EMPRESA,organização ou empresa de tecnologia,0.4157,16,05
Jarque-Bera,jarque-bera,METODO,método ou técnica computacional,0.485,17,05
Deep Learning,deep learning,METODO,método ou técnica computacional,0.6627,19,05
ANOVA,anova,METODO,método ou técnica computacional,0.623,31,05
BLAST,blast,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.9151,43,05
Machine Learning,machine learning,METODO,método ou técnica computacional,0.6443,47,05
Deep Learning,deep learning,METODO,método ou técnica computacional,0.6035,48,05
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.4717,49,05
CNN,cnn,ALGORITMO,linguagem de programação,0.6096,56,05
K-mer,k-mer,LANG,linguagem de programação,0.4753,56,05
CNN,cnn,ALGORITMO,linguagem de programação,0.4206,57,05
LSTM,lstm,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.8475,57,05
K-mer,k-mer,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.7388,57,05
LSTM,lstm,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.8438,57,05
K-mer,k-mer,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.7193,57,05
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.5857,59,05
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.6903,62,05
CNN,cnn,ALGORITMO,linguagem de programação,0.5725,72,05
OMS,oms,EMPRESA,organização ou empresa de tecnologia,0.8045,91,05
World Health Organization,world health organization,EMPRESA,organização ou empresa de tecnologia,0.4319,92,05
OMS,oms,EMPRESA,organização ou empresa de tecnologia,0.5582,93,05
OMS,oms,EMPRESA,organização ou empresa de tecnologia,0.5829,93,05
OMS,oms,EMPRESA,organização ou empresa de tecnologia,0.524,94,05
Pango,pango,FRAMEWORK,framework ou biblioteca de software,0.4362,95,05
Pango,pango,FRAMEWORK,framework ou biblioteca de software,0.4008,95,05
OMS,oms,EMPRESA,organização ou empresa de tecnologia,0.5599,95,05
OMS,oms,EMPRESA,organização ou empresa de tecnologia,0.4757,96,05
OMS,oms,EMPRESA,organização ou empresa de tecnologia,0.3915,116,05
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.6017,136,05
Rede Neural Convolucional,rede neural convolucional,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.4372,140,05
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.8117,140,05
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.7318,140,05
CNNs,cnn,ALGORITMO,hardware ou plataforma embarcada,0.4027,141,05
CNNs,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.6541,142,05
CNNs,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.6642,142,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.6285,145,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.6802,145,05
MLP,mlp,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.6146,146,05
pooling,pooling,METODO,método ou técnica computacional,0.6481,147,05
kernel,kernel,HARDWARE,hardware ou plataforma embarcada,0.4108,151,05
kernel,kernel,HARDWARE,hardware ou plataforma embarcada,0.4218,151,05
pooling,pooling,METODO,método ou técnica computacional,0.4798,162,05
pooling,pooling,METODO,método ou técnica computacional,0.4921,162,05
pooling,pooling,METODO,método ou técnica computacional,0.4707,167,05
pooling,pooling,METODO,método ou técnica computacional,0.5483,167,05
softmax,softmax,FRAMEWORK,framework ou biblioteca de software,0.8428,174,05
softmax,softmax,FRAMEWORK,framework ou biblioteca de software,0.7863,174,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.6339,176,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.6515,176,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.7921,176,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.7821,176,05
softmax,softmax,FRAMEWORK,framework ou biblioteca de software,0.4675,180,05
Backpropagation,backpropagation,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.9064,188,05
Backpropagation,backpropagation,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.904,188,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.55,192,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.522,192,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.445,198,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.458,198,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.762,200,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.7811,200,05
CNNs,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.4274,242,05
GISAID,gisaid,EMPRESA,organização ou empresa de tecnologia,0.5504,253,05
GISAID,gisaid,EMPRESA,organização ou empresa de tecnologia,0.6814,253,05
GISAID,gisaid,EMPRESA,organização ou empresa de tecnologia,0.4539,257,05
Delta,delta,METODO,método ou técnica computacional,0.4724,284,05
Delta,delta,METODO,método ou técnica computacional,0.4901,307,05
ANOVA,anova,METODO,método ou técnica computacional,0.8595,315,05
ANOVA,anova,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.8128,317,05
matlab,matlab,LANG,linguagem de programação,0.8154,318,05
ANOVA,anova,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.8416,322,05
ANOVA,anova,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.8456,322,05
matlab,matlab,LANG,linguagem de programação,0.6496,334,05
Delta,delta,METODO,método ou técnica computacional,0.5269,345,05
Delta,delta,METODO,método ou técnica computacional,0.5612,345,05
CNN,cnn,ALGORITMO,hardware ou plataforma embarcada,0.4858,349,05
CNN,cnn,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.5956,359,05
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9819,0,09
Programa de Pós-Graduação em Engenharia Elétrica e de Computação,programa de pós-graduação em engenharia elétrica e de computação,INSTITUICAO,instituição de ensino ou pesquisa,0.534,2,09
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.8565,2,09
Universidade Federal do Rio Grande do Norte,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9665,4,09
Centro de Tecnologia,centro de tecnologia,INSTITUICAO,instituição de ensino ou pesquisa,0.6378,4,09
Programa de Pós-Graduação em Engenharia Elétrica e de Computação,programa de pós-graduação em engenharia elétrica e de computação,INSTITUICAO,instituição de ensino ou pesquisa,0.6683,4,09
Prof. Dr. Marcelo Augusto Costa Fernandes,marcelo augusto costa fernandes,AUTOR,pesquisador ou autor,0.8429,4,09
Aprendizagem de Máquina,aprendizagem de máquina,METODO,método ou técnica computacional,0.5149,5,09
Universidade Federal do Rio Grande do Norte,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9489,6,09
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.8737,6,09
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9509,7,09
aprendizagem de máquina,aprendizagem de máquina,METODO,método ou técnica computacional,0.6504,7,09
Aprendizagem de Máquina,aprendizagem de máquina,METODO,método ou técnica computacional,0.5056,11,09
machine learning,machine learning,METODO,método ou técnica computacional,0.7869,12,09
machine learning,machine learning,METODO,método ou técnica computacional,0.5323,12,09
Machine Learning,machine learning,METODO,método ou técnica computacional,0.7555,15,09
Agrupamento das Amostras com o SOM,agrupamento das amostras com o som,METODO,método ou técnica computacional,0.5253,17,09
Agrupamento das Amostras com o SOM,agrupamento das amostras com o som,METODO,método ou técnica computacional,0.5714,17,09
Agrupamento das Amostras com o SOM,agrupamento das amostras com o som,METODO,método ou técnica computacional,0.642,17,09
PCA,pca,METODO,método ou técnica computacional,0.5665,22,09
PCA,pca,METODO,método ou técnica computacional,0.6701,22,09
PCA,pca,METODO,método ou técnica computacional,0.5275,24,09
PCA,pca,METODO,método ou técnica computacional,0.6059,24,09
U-matrix,u-matrix,METODO,método ou técnica computacional,0.4968,24,09
PCA,pca,METODO,método ou técnica computacional,0.5944,26,09
PCA,pca,METODO,método ou técnica computacional,0.7145,26,09
U-matrix,u-matrix,METODO,método ou técnica computacional,0.575,26,09
PCA,pca,METODO,método ou técnica computacional,0.5217,28,09
ACM,acm,EMPRESA,organização ou empresa de tecnologia,0.4447,28,09
análise PCA,análise pca,METODO,método ou técnica computacional,0.6107,30,09
Análise PCA,análise pca,METODO,método ou técnica computacional,0.6963,30,09
Análise PCA,análise pca,METODO,método ou técnica computacional,0.8431,30,09
aprendizagem de máquina,aprendizagem de máquina,METODO,método ou técnica computacional,0.6029,48,09
SOM,som,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.6946,49,09
SOM,som,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.8157,49,09
SOM,som,ALGORITMO,protocolo ou padrão de comunicação,0.5474,55,09
SOM,som,ALGORITMO,protocolo ou padrão de comunicação,0.548,55,09
SOM,som,ALGORITMO,protocolo ou padrão de comunicação,0.4159,56,09
SOM,som,ALGORITMO,método ou técnica computacional,0.6649,58,09
SOM,som,ALGORITMO,método ou técnica computacional,0.6316,58,09
ACM,acm,EMPRESA,organização ou empresa de tecnologia,0.4395,72,09
Min-Max,min-max,METODO,método ou técnica computacional,0.6182,89,09
SOM,som,ALGORITMO,método ou técnica computacional,0.7357,91,09
SOM,som,ALGORITMO,método ou técnica computacional,0.7551,91,09
SOM,som,ALGORITMO,método ou técnica computacional,0.4417,94,09
SOM,som,ALGORITMO,protocolo ou padrão de comunicação,0.4481,101,09
SOM,som,ALGORITMO,protocolo ou padrão de comunicação,0.4659,101,09
Min-Max,min-max,METODO,método ou técnica computacional,0.4572,149,09
Matriz-U,matriz-u,LANG,linguagem de programação,0.6355,152,09
matriz-U,matriz-u,LANG,linguagem de programação,0.5668,152,09
matriz-U,matriz-u,LANG,linguagem de programação,0.6081,152,09
U-matrix,u-matrix,PROTOCOLO,protocolo ou padrão de comunicação,0.5577,164,09
PCA,pca,METODO,método ou técnica computacional,0.924,184,09
PCA,pca,METODO,método ou técnica computacional,0.962,184,09
PCA,pca,METODO,algoritmo ou técnica de inteligência artificial,0.4996,185,09
PCA,pca,METODO,método ou técnica computacional,0.9148,186,09
PCA,pca,METODO,método ou técnica computacional,0.9323,186,09
PCA,pca,METODO,método ou técnica computacional,0.8788,186,09
Min-Max,min-max,PROTOCOLO,protocolo ou padrão de comunicação,0.4576,187,09
PCA,pca,METODO,método ou técnica computacional,0.4781,202,09
PCA,pca,METODO,método ou técnica computacional,0.7359,221,09
PCA,pca,METODO,método ou técnica computacional,0.7367,221,09
PCA,pca,METODO,método ou técnica computacional,0.4571,226,09
PCA,pca,METODO,método ou técnica computacional,0.5248,251,09
PCA,pca,METODO,método ou técnica computacional,0.5471,253,09
PCA,pca,METODO,método ou técnica computacional,0.6206,253,09
PCA,pca,METODO,método ou técnica computacional,0.538,278,09
PCA,pca,METODO,método ou técnica computacional,0.4563,287,09
PCA,pca,METODO,método ou técnica computacional,0.9053,290,09
PCA,pca,METODO,método ou técnica computacional,0.9276,290,09
PCA,pca,METODO,método ou técnica computacional,0.9383,290,09
SOM,som,ALGORITMO,método ou técnica computacional,0.607,293,09
SOM,som,ALGORITMO,método ou técnica computacional,0.5546,293,09
SOM,som,ALGORITMO,método ou técnica computacional,0.5323,293,09
PCA,pca,METODO,método ou técnica computacional,0.5407,296,09
SOM,som,ALGORITMO,protocolo ou padrão de comunicação,0.4757,307,09
SOM,som,ALGORITMO,protocolo ou padrão de comunicação,0.4769,307,09
SOM,som,ALGORITMO,protocolo ou padrão de comunicação,0.465,307,09
SOM,som,ALGORITMO,protocolo ou padrão de comunicação,0.5386,311,09
SOM,som,ALGORITMO,protocolo ou padrão de comunicação,0.6399,311,09
ACM,acm,EMPRESA,organização ou empresa de tecnologia,0.5724,356,09
ACM,acm,EMPRESA,organização ou empresa de tecnologia,0.4325,358,09
PCA,pca,METODO,método ou técnica computacional,0.8037,361,09
PCA,pca,METODO,método ou técnica computacional,0.8038,361,09
PCA,pca,METODO,algoritmo ou técnica de inteligência artificial,0.7381,361,09
PCA,pca,METODO,método ou técnica computacional,0.6035,371,09
ACM,acm,EMPRESA,organização ou empresa de tecnologia,0.7499,383,09
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9757,0,11
Programa de Pós-Graduação em Engenharia,programa de pós-graduação em engenharia,INSTITUICAO,instituição de ensino ou pesquisa,0.7469,1,11
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9059,2,11
Universidade Federal do Rio Grande do Norte,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9563,4,11
Centro de Tecnologia,centro de tecnologia,INSTITUICAO,instituição de ensino ou pesquisa,0.8554,4,11
Prof. Dr. Marcelo Augusto Costa Fernandes,marcelo augusto costa fernandes,AUTOR,pesquisador ou autor,0.9019,5,11
Rede neural,rede neural,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.5173,5,11
Stacked Sparse Autoencoder,stacked sparse autoencoder,ALGORITMO,algoritmo ou técnica de inteligência artificial,0.5218,5,11
FPGA,fpga,HARDWARE,hardware ou plataforma embarcada,0.5477,6,11
Marcelo Augusto Costa,marcelo augusto costa fernandes,AUTOR,pesquisador ou autor,0.8614,6,11
Universidade Federal do Rio Grande do Norte,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9628,6,11
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.8521,6,11
UFRN,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9499,7,11
Universidade Federal do Rio Grande do Norte,ufrn,INSTITUICAO,instituição de ensino ou pesquisa,0.9481,10,11
CAPES,capes,INSTITUICAO,instituição de ensino ou pesquisa,0.5624,10,11
Deep Learning,deep learning,METODO,método ou técnica computacional,0.5636,11,11
Field Programmable Gate Array,fpga,HARDWARE,hardware ou plataforma embarcada,0.648,12,11
FPGA,fpga,HARDWARE,hardware ou plataforma embarcada,0.7581,12,11
FPGA,fpga,HARDWARE,hardware ou plataforma embarcada,0.8575,12,11
FPGA,fpga,HARDWARE,hardware ou plataforma embarcada,0.8125,12,11
Deep Learning,deep learning,METODO,método ou técnica computacional,0.6295,13,11
